query_name run cpus nb_results execution_time(ms)
query_394 run_1 4-cpus 954555 45186
query_394 run_2 4-cpus 954555 44836
query_394 run_3 4-cpus 954555 43342
query_466 run_1 4-cpus 4153823 73785
query_466 run_2 4-cpus 4153823 73606
query_466 run_3 4-cpus 4153823 70789
query_667 run_1 4-cpus 2691420 62260
query_667 run_2 4-cpus 2691420 58131
query_667 run_3 4-cpus 2691420 62198
query_353 run_1 4-cpus 12204 72101
query_353 run_2 4-cpus 12204 72588
query_353 run_3 4-cpus 12204 75718
query_601 run_1 4-cpus 2681381 75443
query_601 run_2 4-cpus 2681381 70983
query_601 run_3 4-cpus 2681381 74036
query_597 run_1 4-cpus 2569735 54625
query_597 run_2 4-cpus 2569735 52296
query_597 run_3 4-cpus 2569735 53126
query_346 run_1 4-cpus 52 63552
query_346 run_2 4-cpus 52 62159
query_346 run_3 4-cpus 52 64873
query_598 run_1 4-cpus 1387845 51021
query_598 run_2 4-cpus 1387845 47083
query_598 run_3 4-cpus 1387845 48135
query_356 run_1 4-cpus 8505 75202
query_356 run_2 4-cpus 8505 71466
query_356 run_3 4-cpus 8505 73082
query_599 run_1 4-cpus 3266452 67555
query_599 run_2 4-cpus 3266452 63890
query_599 run_3 4-cpus 3266452 62924
query_424 run_1 4-cpus 1083955 45013
query_424 run_2 4-cpus 1083955 44989
query_424 run_3 4-cpus 1083955 42169
query_144 run_1 4-cpus 4127115 63774
query_144 run_2 4-cpus 4127115 67619
query_144 run_3 4-cpus 4127115 68039
query_299 run_1 4-cpus 3092999 52004
query_299 run_2 4-cpus 3092999 50791
query_299 run_3 4-cpus 3092999 49724
query_386 run_1 4-cpus 951833 48457
query_386 run_2 4-cpus 951833 48157
query_386 run_3 4-cpus 951833 48421
query_167 run_1 4-cpus 4720 63059
query_167 run_2 4-cpus 4720 65275
query_167 run_3 4-cpus 4720 60932
query_662 run_1 4-cpus 2471079 55754
query_662 run_2 4-cpus 2471079 53653
query_662 run_3 4-cpus 2471079 54095
query_455 run_1 4-cpus 1717143 25252
query_455 run_2 4-cpus 1717143 23755
query_455 run_3 4-cpus 1717143 23248
query_391 run_1 4-cpus 4188681 78470
query_391 run_2 4-cpus 4188681 72945
query_391 run_3 4-cpus 4188681 74032
query_148 run_1 4-cpus 3447321 90629
query_148 run_2 4-cpus 3447321 85208
query_148 run_3 4-cpus 3447321 85920
query_679 run_1 4-cpus 260 75227
query_679 run_2 4-cpus 260 48360
query_679 run_3 4-cpus 260 49326
query_513 run_1 4-cpus 4085084 59727
query_513 run_2 4-cpus 4085084 57477
query_513 run_3 4-cpus 4085084 60708
query_347 run_1 4-cpus 2 69948
query_347 run_2 4-cpus 2 65281
query_347 run_3 4-cpus 2 60416
query_360 run_1 4-cpus 11 60032
query_360 run_2 4-cpus 11 66765
query_360 run_3 4-cpus 11 69748
query_434 run_1 4-cpus 1383894 64674
query_434 run_2 4-cpus 1383894 58959
query_434 run_3 4-cpus 1383894 62373
query_395 run_1 4-cpus 1706455 55355
query_395 run_2 4-cpus 1706455 55621
query_395 run_3 4-cpus 1706455 56271
query_512 run_1 4-cpus 4792184 100309
query_512 run_2 4-cpus 4792184 101078
query_512 run_3 4-cpus 4792184 111169
query_14 run_1 4-cpus 2525063 48677
query_14 run_2 4-cpus 2525063 36539
query_14 run_3 4-cpus 2525063 37215
query_439 run_1 4-cpus 2832910 32950
query_439 run_2 4-cpus 2832910 33791
query_439 run_3 4-cpus 2832910 33829
query_456 run_1 4-cpus 1091216 21780
query_456 run_2 4-cpus 1091216 22885
query_456 run_3 4-cpus 1091216 20548
query_385 run_1 4-cpus 967564 41765
query_385 run_2 4-cpus 967564 43831
query_385 run_3 4-cpus 967564 51607
query_396 run_1 4-cpus 1097780 80672
query_396 run_2 4-cpus 1097780 68281
query_396 run_3 4-cpus 1097780 64744
query_354 run_1 4-cpus 13088 74439
query_354 run_2 4-cpus 13088 71930
query_354 run_3 4-cpus 13088 71335
query_357 run_1 4-cpus 1328 90848
query_357 run_2 4-cpus 1328 86610
query_357 run_3 4-cpus 1328 82847
query_288 run_1 4-cpus 5886775 49285
query_288 run_2 4-cpus 5886775 49032
query_288 run_3 4-cpus 5886775 48934
query_289 run_1 4-cpus 1119077 21178
query_289 run_2 4-cpus 1119077 20969
query_289 run_3 4-cpus 1119077 21652
query_435 run_1 4-cpus 2828923 63718
query_435 run_2 4-cpus 2828923 60035
query_435 run_3 4-cpus 2828923 60381
query_646 run_1 4-cpus 9 212425
query_646 run_2 4-cpus 9 208079
query_646 run_3 4-cpus 9 228373
query_17 run_1 4-cpus 66 72529
query_17 run_2 4-cpus 66 64162
query_17 run_3 4-cpus 66 68383
query_468 run_1 4-cpus 2556499 87515
query_468 run_2 4-cpus 2556499 84437
query_468 run_3 4-cpus 2556499 90324
query_596 run_1 4-cpus 2467612 69216
query_596 run_2 4-cpus 2467612 62957
query_596 run_3 4-cpus 2467612 64849
query_631 run_1 4-cpus 2550798 47425
query_631 run_2 4-cpus 2550798 44872
query_631 run_3 4-cpus 2550798 48130
query_358 run_1 4-cpus 110 86264
query_358 run_2 4-cpus 110 83563
query_358 run_3 4-cpus 110 81330
query_146 run_1 4-cpus 5523264 65161
query_146 run_2 4-cpus 5523264 64648
