query_name run cpus nb_results execution_time(ms)
query_408 run_1 1-cpus 9625415 206162
query_408 run_2 1-cpus 9625415 199369
query_408 run_3 1-cpus 9625415 213172
query_178 run_1 1-cpus 3155 219965
query_178 run_2 1-cpus 3155 202020
query_178 run_3 1-cpus 3155 200425
query_359 run_1 1-cpus 2556835 273540
query_359 run_2 1-cpus 2556835 249130
query_359 run_3 1-cpus 2556835 254326
query_142 run_1 1-cpus 735240 124179
query_142 run_2 1-cpus 735240 131389
query_142 run_3 1-cpus 735240 108767
query_207 run_1 1-cpus 513823 111466
query_207 run_2 1-cpus 513823 107089
query_207 run_3 1-cpus 513823 103892
query_371 run_1 1-cpus 9193227 207687
query_371 run_2 1-cpus 9193227 198173
query_371 run_3 1-cpus 9193227 199028
query_272 run_1 1-cpus 2646951 73202
query_272 run_2 1-cpus 2646951 75908
query_272 run_3 1-cpus 2646951 75226
query_116 run_1 1-cpus 7299329 41441
query_116 run_2 1-cpus 7299329 42539
query_116 run_3 1-cpus 7299329 45481
query_430 run_1 1-cpus 9195310 210643
query_430 run_2 1-cpus 9195310 213816
query_430 run_3 1-cpus 9195310 199131
query_278 run_1 1-cpus 1094939 41240
query_278 run_2 1-cpus 1094939 40947
query_278 run_3 1-cpus 1094939 40532
query_455 run_1 1-cpus 548230 60432
query_455 run_2 1-cpus 548230 51280
query_455 run_3 1-cpus 548230 55527
query_391 run_1 1-cpus 9181496 204603
query_391 run_2 1-cpus 9181496 199717
query_391 run_3 1-cpus 9181496 200029
query_259 run_1 1-cpus 7236982 90971
query_259 run_2 1-cpus 7236982 92809
query_259 run_3 1-cpus 7236982 93590
query_229 run_1 1-cpus 1740811 57768
query_229 run_2 1-cpus 1740811 55935
query_229 run_3 1-cpus 1740811 58982
query_225 run_1 1-cpus 1837175 172118
query_225 run_2 1-cpus 1837175 167111
query_225 run_3 1-cpus 1837175 168332
query_228 run_1 1-cpus 2160367 70738
query_228 run_2 1-cpus 2160367 67354
query_228 run_3 1-cpus 2160367 68337
query_110 run_1 1-cpus 1651611 115372
query_110 run_2 1-cpus 1651611 112457
query_110 run_3 1-cpus 1651611 108028
query_45 run_1 1-cpus 1558460 114175
query_45 run_2 1-cpus 1558460 124398
query_45 run_3 1-cpus 1558460 104211
query_52 run_1 1-cpus 8907768 143834
query_52 run_2 1-cpus 8907768 143925
query_52 run_3 1-cpus 8907768 136216
query_330 run_1 1-cpus 4823032 112552
query_330 run_2 1-cpus 4823032 108885
query_330 run_3 1-cpus 4823032 101224
query_360 run_1 1-cpus 2478227 292574
query_360 run_2 1-cpus 2478227 291264
query_360 run_3 1-cpus 2478227 288784
query_59 run_1 1-cpus 17475938 101183
query_59 run_2 1-cpus 17475938 102465
query_59 run_3 1-cpus 17475938 100007
query_418 run_1 1-cpus 9181493 199935
query_418 run_2 1-cpus 9181493 197106
query_418 run_3 1-cpus 9181493 194541
query_281 run_1 1-cpus 1883301 54550
query_281 run_2 1-cpus 1883301 54820
query_281 run_3 1-cpus 1883301 60671
query_431 run_1 1-cpus 9181488 186246
query_431 run_2 1-cpus 9181488 192915
query_431 run_3 1-cpus 9181488 199084
query_44 run_1 1-cpus 1085345 49470
query_44 run_2 1-cpus 1085345 49868
query_44 run_3 1-cpus 1085345 49142
query_273 run_1 1-cpus 2642703 62987
query_273 run_2 1-cpus 2642703 64872
query_273 run_3 1-cpus 2642703 69872
query_370 run_1 1-cpus 9221119 209505
query_370 run_2 1-cpus 9221119 218920
query_370 run_3 1-cpus 9221119 208889
query_230 run_1 1-cpus 7126194 218455
query_230 run_2 1-cpus 7126194 225066
query_230 run_3 1-cpus 7126194 221789
query_180 run_1 1-cpus 13091 170547
query_180 run_2 1-cpus 13091 194145
query_180 run_3 1-cpus 13091 194587
query_267 run_1 1-cpus 1382846 43316
query_267 run_2 1-cpus 1382846 47960
query_267 run_3 1-cpus 1382846 46738
query_115 run_1 1-cpus 7445205 41210
query_115 run_2 1-cpus 7445205 43705
query_115 run_3 1-cpus 7445205 45178
query_383 run_1 1-cpus 9181725 206654
query_383 run_2 1-cpus 9181725 204368
query_383 run_3 1-cpus 9181725 217639
query_196 run_1 1-cpus 3873029 160080
query_196 run_2 1-cpus 3873029 163680
query_196 run_3 1-cpus 3873029 161451
query_390 run_1 1-cpus 9181554 194174
query_390 run_2 1-cpus 9181554 205576
query_390 run_3 1-cpus 9181554 198184
query_197 run_1 1-cpus 3872753 218188
query_197 run_2 1-cpus 3872753 223946
query_197 run_3 1-cpus 3872753 207602
query_441 run_1 1-cpus 1636620 82860
query_441 run_2 1-cpus 1636620 86648
query_441 run_3 1-cpus 1636620 81700
query_208 run_1 1-cpus 2862158 204313
query_208 run_2 1-cpus 2862158 210995
query_208 run_3 1-cpus 2862158 219021
query_453 run_1 1-cpus 551661 80070
query_453 run_2 1-cpus 551661 73606
query_453 run_3 1-cpus 551661 74593
query_433 run_1 1-cpus 9181488 259190
query_433 run_2 1-cpus 9181488 273847
query_433 run_3 1-cpus 9181488 253461
query_283 run_1 1-cpus 4296588 74380
query_283 run_2 1-cpus 4296588 78599
query_283 run_3 1-cpus 4296588 80671
query_321 run_1 1-cpus 1668130 163355
query_321 run_2 1-cpus 1668130 169062
query_321 run_3 1-cpus 1668130 156866
query_42 run_1 1-cpus 709176 47970
query_42 run_2 1-cpus 709176 46788
query_42 run_3 1-cpus 709176 47295
query_226 run_1 1-cpus 1783601 167617
query_226 run_2 1-cpus 1783601 161819
query_226 run_3 1-cpus 1783601 176027
