query_name run cpus nb_results execution_time(ms)
query_394 run_1 4-cpus 954555 398.183
query_394 run_2 4-cpus 954555 386.992
query_394 run_3 4-cpus 954555 361.075
query_466 run_1 4-cpus 4153823 551.511
query_466 run_2 4-cpus 4153823 526.165
query_466 run_3 4-cpus 4153823 525.246
query_667 run_1 4-cpus 0 0
query_667 run_2 4-cpus 0 0
query_667 run_3 4-cpus 0 0
query_353 run_1 4-cpus 12204 138.835
query_353 run_2 4-cpus 12204 114.750
query_353 run_3 4-cpus 12204 114.883
query_601 run_1 4-cpus 0 0
query_601 run_2 4-cpus 0 0
query_601 run_3 4-cpus 0 0
query_597 run_1 4-cpus 2569735 514.759
query_597 run_2 4-cpus 2569735 511.092
query_597 run_3 4-cpus 2569735 506.190
query_346 run_1 4-cpus 52 6.779
query_346 run_2 4-cpus 52 6.051
query_346 run_3 4-cpus 52 5.903
query_598 run_1 4-cpus 1387845 529.710
query_598 run_2 4-cpus 1387845 531.095
query_598 run_3 4-cpus 1387845 527.628
query_356 run_1 4-cpus 8505 10.377
query_356 run_2 4-cpus 8505 8.898
query_356 run_3 4-cpus 8505 8.679
query_599 run_1 4-cpus 0 0
query_599 run_2 4-cpus 0 0
query_599 run_3 4-cpus 0 0
query_424 run_1 4-cpus 1083955 494.939
query_424 run_2 4-cpus 1083955 495.962
query_424 run_3 4-cpus 1083955 544.990
query_144 run_1 4-cpus 0 0
query_144 run_2 4-cpus 0 0
query_144 run_3 4-cpus 0 0
query_299 run_1 4-cpus 3092999 510.030
query_299 run_2 4-cpus 3092999 510.871
query_299 run_3 4-cpus 3092999 483.181
query_386 run_1 4-cpus 951833 557.740
query_386 run_2 4-cpus 951833 548.423
query_386 run_3 4-cpus 951833 549.588
query_167 run_1 4-cpus 4720 9.087
query_167 run_2 4-cpus 4720 7.223
query_167 run_3 4-cpus 4720 6.644
query_662 run_1 4-cpus 0 0
query_662 run_2 4-cpus 0 0
query_662 run_3 4-cpus 0 0
query_455 run_1 4-cpus 1717143 338.796
query_455 run_2 4-cpus 1717143 315.526
query_455 run_3 4-cpus 1717143 316.076
query_391 run_1 4-cpus 0 0
query_391 run_2 4-cpus 0 0
query_391 run_3 4-cpus 0 0
query_148 run_1 4-cpus 3447321 669.461
query_148 run_2 4-cpus 3447321 666.223
query_148 run_3 4-cpus 3447321 665.551
query_679 run_1 4-cpus 260 387.301
query_679 run_2 4-cpus 260 361.087
query_679 run_3 4-cpus 260 386.771
query_513 run_1 4-cpus 4085084 562.734
query_513 run_2 4-cpus 4085084 555.261
query_513 run_3 4-cpus 4085084 554.376
query_347 run_1 4-cpus 2 159.562
query_347 run_2 4-cpus 2 157.240
query_347 run_3 4-cpus 2 155.285
query_360 run_1 4-cpus 11 205.593
query_360 run_2 4-cpus 11 230.724
query_360 run_3 4-cpus 11 203.386
query_434 run_1 4-cpus 1383894 547.637
query_434 run_2 4-cpus 1383894 550.249
query_434 run_3 4-cpus 1383894 560.489
query_395 run_1 4-cpus 1706455 535.560
query_395 run_2 4-cpus 1706455 518.493
query_395 run_3 4-cpus 1706455 538.848
query_512 run_1 4-cpus 4792184 620.469
query_512 run_2 4-cpus 4792184 619.159
query_512 run_3 4-cpus 4792184 614.537
query_14 run_1 4-cpus 2525063 312.155
query_14 run_2 4-cpus 2525063 278.158
query_14 run_3 4-cpus 2525063 285.483
query_439 run_1 4-cpus 2832910 487.929
query_439 run_2 4-cpus 2832910 466.059
query_439 run_3 4-cpus 2832910 466.374
query_456 run_1 4-cpus 1091216 305.622
query_456 run_2 4-cpus 1091216 283.819
query_456 run_3 4-cpus 1091216 284.994
query_385 run_1 4-cpus 967564 548.134
query_385 run_2 4-cpus 967564 544.533
query_385 run_3 4-cpus 967564 542.518
query_396 run_1 4-cpus 1097780 588.112
query_396 run_2 4-cpus 1097780 587.612
query_396 run_3 4-cpus 1097780 579.297
query_354 run_1 4-cpus 13088 15.820
query_354 run_2 4-cpus 13088 12.084
query_354 run_3 4-cpus 13088 12.632
query_357 run_1 4-cpus 1328 356.440
query_357 run_2 4-cpus 1328 355.063
query_357 run_3 4-cpus 1328 353.431
query_288 run_1 4-cpus 5886775 555.563
query_288 run_2 4-cpus 5886775 536.568
query_288 run_3 4-cpus 5886775 529.821
query_289 run_1 4-cpus 1119077 433.409
query_289 run_2 4-cpus 1119077 439.268
query_289 run_3 4-cpus 1119077 458.381
query_435 run_1 4-cpus 0 0
query_435 run_2 4-cpus 0 0
query_435 run_3 4-cpus 0 0
query_646 run_1 4-cpus 9 199.583
query_646 run_2 4-cpus 9 173.711
query_646 run_3 4-cpus 9 167.729
query_17 run_1 4-cpus 66 136.083
query_17 run_2 4-cpus 66 166.063
query_17 run_3 4-cpus 66 138.637
query_468 run_1 4-cpus 2556499 635.390
query_468 run_2 4-cpus 2556499 642.340
query_468 run_3 4-cpus 2556499 636.535
query_596 run_1 4-cpus 2467612 537.514
query_596 run_2 4-cpus 2467612 544.460
query_596 run_3 4-cpus 2467612 540.163
query_631 run_1 4-cpus 0 0
query_631 run_2 4-cpus 0 0
query_631 run_3 4-cpus 0 0
query_358 run_1 4-cpus 110 380.357
query_358 run_2 4-cpus 110 337.679
query_358 run_3 4-cpus 110 323.816
query_146 run_1 4-cpus 0 0
query_146 run_2 4-cpus 0 0
query_146 run_3 4-cpus 0 0
query_469 run_1 4-cpus 0 0
