query_name run cpus nb_results execution_time(ms)
query_408 run_1 1-cpus 0 0
query_408 run_2 1-cpus 0 0
query_408 run_3 1-cpus 0 0
query_178 run_1 1-cpus 3155 9.123
query_178 run_2 1-cpus 3155 6.873
query_178 run_3 1-cpus 3155 6.785
query_359 run_1 1-cpus 0 0
query_359 run_2 1-cpus 0 0
query_359 run_3 1-cpus 0 0
query_142 run_1 1-cpus 735240 177.248
query_142 run_2 1-cpus 735240 142.732
query_142 run_3 1-cpus 735240 138.452
query_207 run_1 1-cpus 513823 328.331
query_207 run_2 1-cpus 513823 296.452
query_207 run_3 1-cpus 513823 289.958
query_371 run_1 1-cpus 0 0
query_371 run_2 1-cpus 0 0
query_371 run_3 1-cpus 0 0
query_272 run_1 1-cpus 2646951 243.686
query_272 run_2 1-cpus 2646951 242.190
query_272 run_3 1-cpus 2646951 244.074
query_116 run_1 1-cpus 7299329 347.536
query_116 run_2 1-cpus 7299329 343.932
query_116 run_3 1-cpus 7299329 346.852
query_430 run_1 1-cpus 0 0
query_430 run_2 1-cpus 0 0
query_430 run_3 1-cpus 0 0
query_278 run_1 1-cpus 1094939 141.486
query_278 run_2 1-cpus 1094939 126.167
query_278 run_3 1-cpus 1094939 125.521
query_455 run_1 1-cpus 548230 84.917
query_455 run_2 1-cpus 548230 82.810
query_455 run_3 1-cpus 548230 100.871
query_391 run_1 1-cpus 0 0
query_391 run_2 1-cpus 0 0
query_391 run_3 1-cpus 0 0
query_259 run_1 1-cpus 7236982 424.218
query_259 run_2 1-cpus 7236982 417.188
query_259 run_3 1-cpus 7236982 418.101
query_229 run_1 1-cpus 1740811 360.591
query_229 run_2 1-cpus 1740811 330.785
query_229 run_3 1-cpus 1740811 324.698
query_225 run_1 1-cpus 1837175 395.622
query_225 run_2 1-cpus 1837175 393.957
query_225 run_3 1-cpus 1837175 386.274
query_228 run_1 1-cpus 2160367 366.974
query_228 run_2 1-cpus 2160367 355.409
query_228 run_3 1-cpus 2160367 348.775
query_110 run_1 1-cpus 1651611 372.304
query_110 run_2 1-cpus 1651611 356.494
query_110 run_3 1-cpus 1651611 355.437
query_45 run_1 1-cpus 1558460 258.001
query_45 run_2 1-cpus 1558460 226.059
query_45 run_3 1-cpus 1558460 216.188
query_52 run_1 1-cpus 0 0
query_52 run_2 1-cpus 0 0
query_52 run_3 1-cpus 0 0
query_330 run_1 1-cpus 4823032 410.258
query_330 run_2 1-cpus 4823032 388.712
query_330 run_3 1-cpus 4823032 387.838
query_360 run_1 1-cpus 0 0
query_360 run_2 1-cpus 0 0
query_360 run_3 1-cpus 0 0
query_59 run_1 1-cpus 17475938 585.461
query_59 run_2 1-cpus 0 0
query_59 run_3 1-cpus 17475938 591.833
query_418 run_1 1-cpus 0 0
query_418 run_2 1-cpus 0 0
query_418 run_3 1-cpus 0 0
query_281 run_1 1-cpus 1883301 183.886
query_281 run_2 1-cpus 1883301 168.047
query_281 run_3 1-cpus 1883301 172.937
query_431 run_1 1-cpus 0 0
query_431 run_2 1-cpus 0 0
query_431 run_3 1-cpus 0 0
query_44 run_1 1-cpus 1085345 156.105
query_44 run_2 1-cpus 1085345 154.826
query_44 run_3 1-cpus 1085345 156.370
query_273 run_1 1-cpus 2642703 217.195
query_273 run_2 1-cpus 2642703 211.423
query_273 run_3 1-cpus 2642703 217.052
query_370 run_1 1-cpus 0 0
query_370 run_2 1-cpus 0 0
query_370 run_3 1-cpus 0 0
query_230 run_1 1-cpus 0 0
query_230 run_2 1-cpus 0 0
query_230 run_3 1-cpus 0 0
query_180 run_1 1-cpus 13091 15.859
query_180 run_2 1-cpus 13091 14.171
query_180 run_3 1-cpus 13091 14.058
query_267 run_1 1-cpus 1382846 143.974
query_267 run_2 1-cpus 1382846 141.259
query_267 run_3 1-cpus 1382846 155.055
query_115 run_1 1-cpus 7445205 373.677
query_115 run_2 1-cpus 7445205 375.407
query_115 run_3 1-cpus 7445205 378.992
query_383 run_1 1-cpus 0 0
query_383 run_2 1-cpus 0 0
query_383 run_3 1-cpus 0 0
query_196 run_1 1-cpus 0 0
query_196 run_2 1-cpus 0 0
query_196 run_3 1-cpus 0 0
query_390 run_1 1-cpus 0 0
query_390 run_2 1-cpus 0 0
query_390 run_3 1-cpus 0 0
query_197 run_1 1-cpus 0 0
query_197 run_2 1-cpus 0 0
query_197 run_3 1-cpus 0 0
query_441 run_1 1-cpus 1636620 140.191
query_441 run_2 1-cpus 1636620 133.102
query_441 run_3 1-cpus 1636620 132.153
query_208 run_1 1-cpus 0 0
query_208 run_2 1-cpus 0 0
query_208 run_3 1-cpus 0 0
query_453 run_1 1-cpus 551661 111.783
query_453 run_2 1-cpus 551661 94.906
query_453 run_3 1-cpus 551661 91.840
query_433 run_1 1-cpus 0 0
query_433 run_2 1-cpus 0 0
query_433 run_3 1-cpus 0 0
query_283 run_1 1-cpus 4296588 336.268
query_283 run_2 1-cpus 4296588 307.899
query_283 run_3 1-cpus 4296588 308.445
query_321 run_1 1-cpus 1671044 319.216
query_321 run_2 1-cpus 1671044 288.715
query_321 run_3 1-cpus 1671044 275.934
query_42 run_1 1-cpus 709176 156.222
query_42 run_2 1-cpus 709176 137.411
query_42 run_3 1-cpus 709176 138.140
query_226 run_1 1-cpus 1783601 414.588
query_226 run_2 1-cpus 1783601 390.468
query_226 run_3 1-cpus 1783601 388.256
