query_name,original_query_size,nb_continuation_queries,sum_continuation_queries_size,sum_ratio
query_408,0.17,2,0.48,2.92
query_178,0.57,1,0.98,1.72
query_359,0.47,3,1.81,3.83
query_142,0.92,0,0.00,0.00
query_207,0.41,0,0.00,0.00
query_371,0.17,2,0.49,2.91
query_272,0.54,0,0.00,0.00
query_116,0.57,0,0.00,0.00
query_430,0.17,2,0.48,2.92
query_278,0.30,0,0.00,0.00
query_455,0.36,0,0.00,0.00
query_391,0.17,2,0.48,2.92
query_259,0.17,1,0.24,1.45
query_229,0.17,0,0.00,0.00
query_225,0.45,1,0.85,1.90
query_228,0.17,0,0.00,0.00
query_110,0.19,0,0.00,0.00
query_45,0.62,1,1.23,1.99
query_52,0.13,2,1.02,7.59
query_330,0.17,1,0.25,1.45
query_360,0.40,2,1.36,3.42
query_59,0.34,1,0.89,2.63
query_418,0.17,2,0.48,2.92
query_281,0.43,0,0.00,0.00
query_431,0.17,2,0.48,2.92
query_44,0.23,0,0.00,0.00
query_273,0.48,0,0.00,0.00
query_370,0.17,2,0.95,5.73
query_230,0.25,1,0.62,2.46
query_180,0.27,1,0.64,2.36
query_267,0.40,0,0.00,0.00
query_115,0.56,0,0.00,0.00
query_383,0.17,2,0.49,2.91
query_196,0.14,1,0.21,1.56
query_390,0.17,2,0.48,2.92
query_197,0.20,2,0.79,3.97
query_441,0.36,0,0.00,0.00
query_208,0.22,2,0.95,4.39
query_453,0.68,0,0.00,0.00
query_433,0.25,1,0.34,1.37
query_283,0.55,1,0.69,1.24
query_321,1.28,1,2.98,2.33
query_42,0.23,0,0.00,0.00
query_226,0.45,1,0.85,1.89
