query_name,run,timeout,nb_pause_resume,execution_time,nb_results
query_394,run_1,60000,1,72168,954554
query_394,run_2,60000,1,73427,954554
query_394,run_3,60000,1,71740,954554
query_394,run_1,60000000,0,72285,954554
query_394,run_2,60000000,0,73042,954554
query_394,run_3,60000000,0,72746,954554
query_466,run_1,60000,1,96418,4153822
query_466,run_2,60000,1,96602,4153822
query_466,run_3,60000,1,96569,4153822
query_466,run_1,60000000,0,95695,4153822
query_466,run_2,60000000,0,95421,4153822
query_466,run_3,60000000,0,95231,4153822
query_667,run_1,60000,1,114878,2691419
query_667,run_2,60000,1,114415,2691419
query_667,run_3,60000,1,114184,2691419
query_667,run_1,60000000,0,112904,2691419
query_667,run_2,60000000,0,114323,2691419
query_667,run_3,60000000,0,115332,2691419
query_353,run_1,60000,0,52864,12203
query_353,run_2,60000,0,52406,12203
query_353,run_3,60000,0,51515,12203
query_353,run_1,60000000,0,51869,12203
query_353,run_2,60000000,0,50838,12203
query_353,run_3,60000000,0,54268,12203
query_601,run_1,60000,2,129031,2681380
query_601,run_2,60000,2,130892,2681380
query_601,run_3,60000,2,129452,2681380
query_601,run_1,60000000,0,131337,2681380
query_601,run_2,60000000,0,128194,2681380
query_601,run_3,60000000,0,127226,2681380
query_597,run_1,60000,1,100537,2569734
query_597,run_2,60000,1,102191,2569734
query_597,run_3,60000,1,101681,2569734
query_597,run_1,60000000,0,101334,2569734
query_597,run_2,60000000,0,101376,2569734
query_597,run_3,60000000,0,100763,2569734
query_346,run_1,60000,1,83081,51
query_346,run_2,60000,1,83270,51
query_346,run_3,60000,1,82899,51
query_346,run_1,60000000,0,82275,51
query_346,run_2,60000000,0,80767,51
query_346,run_3,60000000,0,81837,51
query_598,run_1,60000,1,75692,1387844
query_598,run_2,60000,1,76703,1387844
query_598,run_3,60000,1,75481,1387844
query_598,run_1,60000000,0,75037,1387844
query_598,run_2,60000000,0,76085,1387844
query_598,run_3,60000000,0,74655,1387844
query_356,run_1,60000,1,94152,8504
query_356,run_2,60000,1,93489,8504
query_356,run_3,60000,1,93182,8504
query_356,run_1,60000000,0,92985,8504
query_356,run_2,60000000,0,92951,8504
query_356,run_3,60000000,0,91968,8504
query_599,run_1,60000,1,118536,3266451
query_599,run_2,60000,1,118119,3266451
query_599,run_3,60000,1,119033,3266451
query_599,run_1,60000000,0,117289,3266451
query_599,run_2,60000000,0,117745,3266451
query_599,run_3,60000000,0,116411,3266451
query_424,run_1,60000,1,68770,1083954
query_424,run_2,60000,1,67660,1083954
query_424,run_3,60000,1,69219,1083954
query_424,run_1,60000000,0,67510,1083954
query_424,run_2,60000000,0,67410,1083954
query_424,run_3,60000000,0,68231,1083954
query_144,run_1,60000,2,137396,4127114
query_144,run_2,60000,2,135160,4127114
query_144,run_3,60000,2,137519,4127114
query_144,run_1,60000000,0,136646,4127114
query_144,run_2,60000000,0,135757,4127114
query_144,run_3,60000000,0,135277,4127114
query_299,run_1,60000,1,81018,3092998
query_299,run_2,60000,1,82809,3092998
query_299,run_3,60000,1,81785,3092998
query_299,run_1,60000000,0,81862,3092998
query_299,run_2,60000000,0,81689,3092998
query_299,run_3,60000000,0,81115,3092998
query_386,run_1,60000,1,77388,951832
query_386,run_2,60000,1,77367,951832
query_386,run_3,60000,1,78175,951832
query_386,run_1,60000000,0,78058,951832
query_386,run_2,60000000,0,78021,951832
query_386,run_3,60000000,0,78235,951832
query_167,run_1,60000,1,83489,4719
query_167,run_2,60000,1,83211,4719
query_167,run_3,60000,1,82541,4719
query_167,run_1,60000000,0,82955,4719
query_167,run_2,60000000,0,82915,4719
query_167,run_3,60000000,0,83087,4719
query_662,run_1,60000,1,103369,2471078
query_662,run_2,60000,1,103515,2471078
query_662,run_3,60000,1,104265,2471078
query_662,run_1,60000000,0,101569,2471078
query_662,run_2,60000000,0,103502,2471078
query_662,run_3,60000000,0,103927,2471078
query_455,run_1,60000,0,36389,1717142
query_455,run_2,60000,0,36182,1717142
query_455,run_3,60000,0,36168,1717142
query_455,run_1,60000000,0,36512,1717142
query_455,run_2,60000000,0,36597,1717142
query_455,run_3,60000000,0,37245,1717142
query_391,run_1,60000,1,118777,4188680
query_391,run_2,60000,1,117814,4188680
query_391,run_3,60000,2,120539,4188680
query_391,run_1,60000000,0,117957,4188680
query_391,run_2,60000000,0,117200,4188680
query_391,run_3,60000000,0,119325,4188680
query_148,run_1,60000,2,148860,3447320
query_148,run_2,60000,2,148605,3447320
query_148,run_3,60000,2,149123,3447320
query_148,run_1,60000000,0,148929,3447320
query_148,run_2,60000000,0,147174,3447320
query_148,run_3,60000000,0,147057,3447320
query_679,run_1,60000,0,53128,259
query_679,run_2,60000,0,53306,259
query_679,run_3,60000,0,52510,259
query_679,run_1,60000000,0,54147,259
query_679,run_2,60000000,0,53924,259
query_679,run_3,60000000,0,53441,259
query_513,run_1,60000,1,101193,4085083
query_513,run_2,60000,1,100486,4085083
query_513,run_3,60000,1,100679,4085083
query_513,run_1,60000000,0,103391,4085083
query_513,run_2,60000000,0,99887,4085083
query_513,run_3,60000000,0,100409,4085083
query_347,run_1,60000,1,81729,1
query_347,run_2,60000,1,82498,1
query_347,run_3,60000,1,81973,1
query_347,run_1,60000000,0,81703,1
query_347,run_2,60000000,0,80733,1
query_347,run_3,60000000,0,82314,1
query_360,run_1,60000,1,98550,10
query_360,run_2,60000,1,97183,10
query_360,run_3,60000,1,98354,10
query_360,run_1,60000000,0,98041,10
query_360,run_2,60000000,0,97298,10
query_360,run_3,60000000,0,97208,10
query_434,run_1,60000,1,103002,1383893
query_434,run_2,60000,1,102321,1383893
query_434,run_3,60000,1,102607,1383893
query_434,run_1,60000000,0,105999,1383893
query_434,run_2,60000000,0,100907,1383893
query_434,run_3,60000000,0,103631,1383893
query_395,run_1,60000,1,94473,1706454
query_395,run_2,60000,1,94324,1706454
query_395,run_3,60000,1,96333,1706454
query_395,run_1,60000000,0,94164,1706454
query_395,run_2,60000000,0,94071,1706454
