query_name,run,timeout,nb_pause_resume,execution_time,nb_results
query_408,run_1,60000,1,118003,9625414
query_408,run_2,60000,2,120230,9625414
query_408,run_3,60000,2,123658,9625414
query_408,run_1,60000000,0,115945,9625414
query_408,run_2,60000000,0,117026,9625414
query_408,run_3,60000000,0,119278,9625414
query_178,run_1,60000,1,90637,3154
query_178,run_2,60000,1,89226,3154
query_178,run_3,60000,1,88229,3154
query_178,run_1,60000000,0,95336,3154
query_178,run_2,60000000,0,94538,3154
query_178,run_3,60000000,0,89628,3154
query_359,run_1,60000,1,114775,2556834
query_359,run_2,60000,1,113470,2556834
query_359,run_3,60000,1,108516,2556834
query_359,run_1,60000000,0,109100,2556834
query_359,run_2,60000000,0,119363,2556834
query_359,run_3,60000000,0,123066,2556834
query_142,run_1,60000,0,37173,735239
query_142,run_2,60000,0,37557,735239
query_142,run_3,60000,0,38423,735239
query_142,run_1,60000000,0,37191,735239
query_142,run_2,60000000,0,37960,735239
query_142,run_3,60000000,0,38108,735239
query_207,run_1,60000,0,44003,513822
query_207,run_2,60000,0,39768,513822
query_207,run_3,60000,0,41161,513822
query_207,run_1,60000000,0,38831,513822
query_207,run_2,60000000,0,42963,513822
query_207,run_3,60000000,0,40378,513822
query_371,run_1,60000,2,133667,9193226
query_371,run_2,60000,1,113147,9193226
query_371,run_3,60000,1,114205,9193226
query_371,run_1,60000000,0,112269,9193226
query_371,run_2,60000000,0,114574,9193226
query_371,run_3,60000000,0,114310,9193226
query_272,run_1,60000,0,46504,2646950
query_272,run_2,60000,0,44731,2646950
query_272,run_3,60000,0,43609,2646950
query_272,run_1,60000000,0,44049,2646950
query_272,run_2,60000000,0,45313,2646950
query_272,run_3,60000000,0,45469,2646950
query_116,run_1,60000,0,37484,7299328
query_116,run_2,60000,0,37020,7299328
query_116,run_3,60000,0,37713,7299328
query_116,run_1,60000000,0,36885,7299328
query_116,run_2,60000000,0,37761,7299328
query_116,run_3,60000000,0,37217,7299328
query_430,run_1,60000,1,118593,9195309
query_430,run_2,60000,2,127186,9195309
query_430,run_3,60000,1,113968,9195309
query_430,run_1,60000000,0,113405,9195309
query_430,run_2,60000000,0,122965,9195309
query_430,run_3,60000000,0,117389,9195309
query_278,run_1,60000,0,25864,1094938
query_278,run_2,60000,0,27751,1094938
query_278,run_3,60000,0,25990,1094938
query_278,run_1,60000000,0,26695,1094938
query_278,run_2,60000000,0,25462,1094938
query_278,run_3,60000000,0,24948,1094938
query_455,run_1,60000,0,18143,548229
query_455,run_2,60000,0,18183,548229
query_455,run_3,60000,0,18605,548229
query_455,run_1,60000000,0,17890,548229
query_455,run_2,60000000,0,18486,548229
query_455,run_3,60000000,0,17534,548229
query_391,run_1,60000,1,112748,9181495
query_391,run_2,60000,2,120605,9181495
query_391,run_3,60000,1,116752,9181495
query_391,run_1,60000000,0,120430,9181495
query_391,run_2,60000000,0,112570,9181495
query_391,run_3,60000000,0,109353,9181495
query_259,run_1,60000,0,52808,7236981
query_259,run_2,60000,0,58628,7236981
query_259,run_3,60000,0,55753,7236981
query_259,run_1,60000000,0,54117,7236981
query_259,run_2,60000000,0,57650,7236981
query_259,run_3,60000000,0,55495,7236981
query_229,run_1,60000,0,32613,1740810
query_229,run_2,60000,0,32156,1740810
query_229,run_3,60000,0,31660,1740810
query_229,run_1,60000000,0,31028,1740810
query_229,run_2,60000000,0,29683,1740810
query_229,run_3,60000000,0,29670,1740810
query_225,run_1,60000,1,66016,1837174
query_225,run_2,60000,1,61721,1837174
query_225,run_3,60000,1,64587,1837174
query_225,run_1,60000000,0,64707,1837174
query_225,run_2,60000000,0,64650,1837174
query_225,run_3,60000000,0,62013,1837174
query_228,run_1,60000,0,37966,2160366
query_228,run_2,60000,0,34736,2160366
query_228,run_3,60000,0,36322,2160366
query_228,run_1,60000000,0,32452,2160366
query_228,run_2,60000000,0,33744,2160366
query_228,run_3,60000000,0,36908,2160366
query_110,run_1,60000,0,52691,1651610
query_110,run_2,60000,0,44157,1651610
query_110,run_3,60000,0,46507,1651610
query_110,run_1,60000000,0,44189,1651610
query_110,run_2,60000000,0,45093,1651610
query_110,run_3,60000000,0,45979,1651610
query_45,run_1,60000,0,51633,1558459
query_45,run_2,60000,0,49014,1558459
query_45,run_3,60000,0,53533,1558459
query_45,run_1,60000000,0,55222,1558459
query_45,run_2,60000000,0,52811,1558459
query_45,run_3,60000000,0,54473,1558459
query_52,run_1,60000,1,110171,8907767
query_52,run_2,60000,1,115490,8907767
query_52,run_3,60000,1,111766,8907767
query_52,run_1,60000000,0,111294,8907767
query_52,run_2,60000000,0,104100,8907767
query_52,run_3,60000000,0,109876,8907767
query_330,run_1,60000,1,71574,4823031
query_330,run_2,60000,0,55825,4823031
query_330,run_3,60000,0,57338,4823031
query_330,run_1,60000000,0,57613,4823031
query_330,run_2,60000000,0,56188,4823031
query_330,run_3,60000000,0,59187,4823031
query_360,run_1,60000,2,134893,2478226
query_360,run_2,60000,2,130539,2478226
query_360,run_3,60000,2,128510,2478226
query_360,run_1,60000000,0,128761,2478226
query_360,run_2,60000000,0,131036,2478226
query_360,run_3,60000000,0,135809,2478226
