query_name,timeout,run_id,cpus,nb_results,nb_quantum,next_size(kb),execution_time(sec)
query_394,60000,run_1,4-cpus,954554,2,0.8955078125 kb,115.49470257759094 sec
query_394,60000000,run_1,4-cpus,954554,2,0.7978515625 kb,114.52408003807068 sec
query_394,60000,run_2,4-cpus,954554,2,0.8369140625 kb,113.6018488407135 sec
query_394,60000000,run_2,4-cpus,954554,2,0.8056640625 kb,112.37258863449097 sec
query_394,60000,run_3,4-cpus,954554,2,0.7939453125 kb,116.16974925994873 sec
query_394,60000000,run_3,4-cpus,954554,2,0.7939453125 kb,113.47231006622314 sec
query_466,60000,run_1,4-cpus,4153822,5,4.33203125 kb,275.8684456348419 sec
query_466,60000000,run_1,4-cpus,4153822,5,4.265625 kb,277.66005849838257 sec
query_466,60000,run_2,4-cpus,4153822,5,4.3984375 kb,277.20128417015076 sec
query_466,60000000,run_2,4-cpus,4153822,5,4.078125 kb,277.07493901252747 sec
query_466,60000,run_3,4-cpus,4153822,5,4.140625 kb,274.83683705329895 sec
query_466,60000000,run_3,4-cpus,4153822,5,4.328125 kb,275.28860330581665 sec
query_667,60000,run_1,4-cpus,2691419,2,0.8330078125 kb,108.89242506027222 sec
query_667,60000000,run_1,4-cpus,2691419,2,0.7080078125 kb,106.44012689590454 sec
query_667,60000,run_2,4-cpus,2691419,2,0.7080078125 kb,106.86793518066406 sec
query_667,60000000,run_2,4-cpus,2691419,2,0.7080078125 kb,109.2076575756073 sec
query_667,60000,run_3,4-cpus,2691419,2,0.8212890625 kb,107.27836894989014 sec
query_667,60000000,run_3,4-cpus,2691419,2,0.8291015625 kb,107.11315822601318 sec
query_353,60000,run_1,4-cpus,12203,7,6.935546875 kb,400.23163294792175 sec
query_353,60000000,run_1,4-cpus,12203,7,6.939453125 kb,398.99521803855896 sec
query_353,60000,run_2,4-cpus,12203,7,6.939453125 kb,401.41240429878235 sec
query_353,60000000,run_2,4-cpus,12203,7,6.912109375 kb,394.1281929016113 sec
query_353,60000,run_3,4-cpus,12203,7,6.919921875 kb,393.25931787490845 sec
query_353,60000000,run_3,4-cpus,12203,7,6.931640625 kb,396.33537912368774 sec
query_601,60000,run_1,4-cpus,2681380,3,2.330078125 kb,178.85978770256042 sec
query_601,60000000,run_1,4-cpus,2681380,3,2.208984375 kb,175.8857502937317 sec
query_601,60000,run_2,4-cpus,2681380,3,2.470703125 kb,174.9229896068573 sec
query_601,60000000,run_2,4-cpus,2681380,3,2.576171875 kb,175.9474277496338 sec
query_601,60000,run_3,4-cpus,2681380,3,2.568359375 kb,172.53150844573975 sec
query_601,60000000,run_3,4-cpus,2681380,3,2.455078125 kb,176.75442957878113 sec
query_597,60000,run_1,4-cpus,2569734,2,0.8720703125 kb,88.93164348602295 sec
query_597,60000000,run_1,4-cpus,2569734,2,0.7861328125 kb,89.25336337089539 sec
query_597,60000,run_2,4-cpus,2569734,2,0.8095703125 kb,88.20596027374268 sec
query_597,60000000,run_2,4-cpus,2569734,2,0.8681640625 kb,91.04860234260559 sec
query_597,60000,run_3,4-cpus,2569734,2,0.8681640625 kb,89.61642813682556 sec
query_597,60000000,run_3,4-cpus,2569734,2,0.8720703125 kb,89.76531100273132 sec
query_346,60000,run_1,4-cpus,51,6,8.6103515625 kb,348.2417960166931 sec
query_346,60000000,run_1,4-cpus,51,6,8.6103515625 kb,347.0505030155182 sec
query_346,60000,run_2,4-cpus,51,6,8.6103515625 kb,347.55038952827454 sec
query_346,60000000,run_2,4-cpus,51,6,8.6103515625 kb,350.0925281047821 sec
query_346,60000,run_3,4-cpus,51,6,8.6103515625 kb,347.45615220069885 sec
query_346,60000000,run_3,4-cpus,51,6,8.6142578125 kb,349.48662996292114 sec
query_598,60000,run_1,4-cpus,1387844,3,1.310546875 kb,137.35141944885254 sec
query_598,60000000,run_1,4-cpus,1387844,3,1.310546875 kb,135.62044620513916 sec
query_598,60000,run_2,4-cpus,1387844,3,1.310546875 kb,136.2901952266693 sec
query_598,60000000,run_2,4-cpus,1387844,3,1.306640625 kb,133.86571097373962 sec
query_598,60000,run_3,4-cpus,1387844,3,1.310546875 kb,135.07521533966064 sec
query_598,60000000,run_3,4-cpus,1387844,3,1.310546875 kb,133.3627610206604 sec
query_356,60000,run_1,4-cpus,8504,7,6.314453125 kb,380.1011426448822 sec
query_356,60000000,run_1,4-cpus,8504,7,6.318359375 kb,386.36661767959595 sec
query_356,60000,run_2,4-cpus,8504,7,6.318359375 kb,389.78871297836304 sec
query_356,60000000,run_2,4-cpus,8504,7,6.310546875 kb,384.8762671947479 sec
query_356,60000,run_3,4-cpus,8504,7,6.314453125 kb,383.4788157939911 sec
query_356,60000000,run_3,4-cpus,8504,7,6.318359375 kb,383.23631596565247 sec
query_599,60000,run_1,4-cpus,3266451,2,0.7392578125 kb,111.65745568275452 sec
query_599,60000000,run_1,4-cpus,3266451,2,0.7978515625 kb,113.13157606124878 sec
query_599,60000,run_2,4-cpus,3266451,2,0.8017578125 kb,113.4883201122284 sec
query_599,60000000,run_2,4-cpus,3266451,2,0.7392578125 kb,111.11998438835144 sec
query_599,60000,run_3,4-cpus,3266451,2,0.8017578125 kb,113.28545618057251 sec
query_599,60000000,run_3,4-cpus,3266451,2,0.7392578125 kb,113.29361772537231 sec
query_424,60000,run_1,4-cpus,1083954,3,4.330078125 kb,122.8089714050293 sec
query_424,60000000,run_1,4-cpus,1083954,3,4.998046875 kb,123.78560090065002 sec
query_424,60000,run_2,4-cpus,1083954,3,4.662109375 kb,123.41942691802979 sec
query_424,60000000,run_2,4-cpus,1083954,3,4.494140625 kb,124.99522852897644 sec
query_424,60000,run_3,4-cpus,1083954,2,2.1650390625 kb,120.66582322120667 sec
query_424,60000000,run_3,4-cpus,1083954,2,2.1689453125 kb,120.09568333625793 sec
query_144,60000,run_1,4-cpus,4127114,4,3.4248046875 kb,225.50366067886353 sec
query_144,60000000,run_1,4-cpus,4127114,4,3.4482421875 kb,226.52168488502502 sec
query_144,60000,run_2,4-cpus,4127114,4,3.6708984375 kb,225.59819102287292 sec
query_144,60000000,run_2,4-cpus,4127114,4,3.3154296875 kb,227.97929430007935 sec
query_144,60000,run_3,4-cpus,4127114,4,3.3154296875 kb,223.33831191062927 sec
query_144,60000000,run_3,4-cpus,4127114,4,4.0380859375 kb,225.37103819847107 sec
query_299,60000,run_1,4-cpus,3092998,2,0.6572265625 kb,108.27595591545105 sec
query_299,60000000,run_1,4-cpus,3092998,2,0.6533203125 kb,106.49175953865051 sec
query_299,60000,run_2,4-cpus,3092998,2,0.6533203125 kb,106.73998618125916 sec
query_299,60000000,run_2,4-cpus,3092998,2,0.6572265625 kb,108.08471155166626 sec
