query_name,timeout,run_id,cpus,nb_results,nb_quantum,next_size(kb),execution_time(sec)
query_408,60000,run_1,1-cpus,9625414,5,2.375 kb,275.0612370967865 sec
query_408,60000000,run_1,1-cpus,9625414,5,2.375 kb,278.6224932670593 sec
query_408,60000,run_2,1-cpus,9625414,5,2.51953125 kb,276.6796178817749 sec
query_408,60000000,run_2,1-cpus,9625414,5,2.375 kb,280.91733026504517 sec
query_408,60000,run_3,1-cpus,9625414,5,2.375 kb,280.7109613418579 sec
query_408,60000000,run_3,1-cpus,9625414,5,2.37890625 kb,273.6321806907654 sec
query_178,60000,run_1,1-cpus,3154,7,19.826171875 kb,369.6181342601776 sec
query_178,60000000,run_1,1-cpus,3154,7,20.091796875 kb,368.45215582847595 sec
query_178,60000,run_2,1-cpus,3154,7,20.072265625 kb,371.0213813781738 sec
query_178,60000000,run_2,1-cpus,3154,7,20.072265625 kb,366.0778305530548 sec
query_178,60000,run_3,1-cpus,3154,7,19.736328125 kb,364.52952790260315 sec
query_178,60000000,run_3,1-cpus,3154,7,19.880859375 kb,367.0790603160858 sec
query_359,60000,run_1,1-cpus,2556834,4,12.3505859375 kb,231.59242701530457 sec
query_359,60000000,run_1,1-cpus,2556834,4,12.4091796875 kb,233.29767894744873 sec
query_359,60000,run_2,1-cpus,2556834,4,12.5615234375 kb,233.6620192527771 sec
query_359,60000000,run_2,1-cpus,2556834,4,12.3974609375 kb,230.84754347801208 sec
query_359,60000,run_3,1-cpus,2556834,4,12.6865234375 kb,233.21017456054688 sec
query_359,60000000,run_3,1-cpus,2556834,4,12.3701171875 kb,234.96127247810364 sec
query_142,60000,run_1,1-cpus,735239,4,13.5068359375 kb,190.37858748435974 sec
query_142,60000000,run_1,1-cpus,735239,4,13.2138671875 kb,188.7201087474823 sec
query_142,60000,run_2,1-cpus,735239,4,13.2138671875 kb,189.3439474105835 sec
query_142,60000000,run_2,1-cpus,735239,4,13.2138671875 kb,189.907475233078 sec
query_142,60000,run_3,1-cpus,735239,4,13.2099609375 kb,190.23030638694763 sec
query_142,60000000,run_3,1-cpus,735239,4,13.2138671875 kb,186.4842917919159 sec
query_207,60000,run_1,1-cpus,513822,2,2.4541015625 kb,99.98762440681458 sec
query_207,60000000,run_1,1-cpus,513822,2,2.4462890625 kb,100.5606210231781 sec
query_207,60000,run_2,1-cpus,513822,2,2.4501953125 kb,101.36861324310303 sec
query_207,60000000,run_2,1-cpus,513822,2,2.4384765625 kb,101.23048210144043 sec
query_207,60000,run_3,1-cpus,513822,2,2.9580078125 kb,102.20618152618408 sec
query_207,60000000,run_3,1-cpus,513822,2,2.9619140625 kb,102.1774549484253 sec
query_371,60000,run_1,1-cpus,9193226,5,2.3984375 kb,263.52638721466064 sec
query_371,60000000,run_1,1-cpus,9193226,5,2.39453125 kb,268.5633285045624 sec
query_371,60000,run_2,1-cpus,9193226,5,2.390625 kb,271.47834515571594 sec
query_371,60000000,run_2,1-cpus,9193226,5,2.39453125 kb,269.72105050086975 sec
query_371,60000,run_3,1-cpus,9193226,5,2.3984375 kb,261.917218208313 sec
query_371,60000000,run_3,1-cpus,9193226,5,2.38671875 kb,271.75341510772705 sec
query_272,60000,run_1,1-cpus,2646950,3,7.177734375 kb,147.03365802764893 sec
query_272,60000000,run_1,1-cpus,2646950,3,7.466796875 kb,148.10672330856323 sec
query_272,60000,run_2,1-cpus,2646950,3,8.509765625 kb,149.03455233573914 sec
query_272,60000000,run_2,1-cpus,2646950,3,8.158203125 kb,147.75795912742615 sec
query_272,60000,run_3,1-cpus,2646950,3,7.861328125 kb,151.49721932411194 sec
query_272,60000000,run_3,1-cpus,2646950,3,7.919921875 kb,148.77950477600098 sec
query_116,60000,run_1,1-cpus,7299328,2,5.1064453125 kb,79.68528032302856 sec
query_116,60000000,run_1,1-cpus,7299328,2,5.0751953125 kb,82.84363126754761 sec
query_116,60000,run_2,1-cpus,7299328,2,5.0556640625 kb,83.28209805488586 sec
query_116,60000000,run_2,1-cpus,7299328,2,5.0478515625 kb,83.58702254295349 sec
query_116,60000,run_3,1-cpus,7299328,2,5.4697265625 kb,83.69165873527527 sec
query_116,60000000,run_3,1-cpus,7299328,2,5.5283203125 kb,82.26105999946594 sec
query_430,60000,run_1,1-cpus,9195309,5,2.390625 kb,272.92873454093933 sec
query_430,60000000,run_1,1-cpus,9195309,5,2.390625 kb,268.2298495769501 sec
query_430,60000,run_2,1-cpus,9195309,5,2.38671875 kb,272.18799448013306 sec
query_430,60000000,run_2,1-cpus,9195309,5,2.39453125 kb,268.43036222457886 sec
query_430,60000,run_3,1-cpus,9195309,5,2.390625 kb,267.38606905937195 sec
query_430,60000000,run_3,1-cpus,9195309,5,2.39453125 kb,269.60326075553894 sec
query_278,60000,run_1,1-cpus,1094938,2,1.6650390625 kb,70.58825516700745 sec
query_278,60000000,run_1,1-cpus,1094938,2,1.4462890625 kb,70.1401698589325 sec
query_278,60000,run_2,1-cpus,1094938,2,1.2392578125 kb,70.07831501960754 sec
query_278,60000000,run_2,1-cpus,1094938,2,1.5322265625 kb,69.57964444160461 sec
query_278,60000,run_3,1-cpus,1094938,2,1.5439453125 kb,70.51531982421875 sec
query_278,60000000,run_3,1-cpus,1094938,2,1.3251953125 kb,70.47859954833984 sec
query_455,60000,run_1,1-cpus,548229,1,0.015625 kb,55.889116525650024 sec
query_455,60000000,run_1,1-cpus,548229,1,0.015625 kb,54.76289939880371 sec
query_455,60000,run_2,1-cpus,548229,1,0.015625 kb,53.91352152824402 sec
query_455,60000000,run_2,1-cpus,548229,1,0.015625 kb,53.59852051734924 sec
query_455,60000,run_3,1-cpus,548229,1,0.015625 kb,53.676695346832275 sec
query_455,60000000,run_3,1-cpus,548229,1,0.015625 kb,54.165221214294434 sec
query_391,60000,run_1,1-cpus,9181495,5,2.37109375 kb,270.4399287700653 sec
query_391,60000000,run_1,1-cpus,9181495,5,2.375 kb,267.9950141906738 sec
query_391,60000,run_2,1-cpus,9181495,5,2.375 kb,269.6738498210907 sec
query_391,60000000,run_2,1-cpus,9181495,5,2.375 kb,263.24539589881897 sec
query_391,60000,run_3,1-cpus,9181495,5,2.375 kb,264.8438756465912 sec
query_391,60000000,run_3,1-cpus,9181495,5,2.375 kb,269.9722559452057 sec
query_259,60000,run_1,1-cpus,7236981,1,0.015625 kb,52.56128120422363 sec
query_259,60000000,run_1,1-cpus,7236981,1,0.015625 kb,52.51809883117676 sec
